Date,53005,58839,52759
946710000,0,0,0
946796400,0,0,0
946882800,0,0,0.04
946969200,0,0,0
947055600,0,0,0
947142000,0,0,0
947228400,0,0,0
947314800,0,0,0
947401200,0,0,0
947487600,0,0,0.03
947574000,0,0,0.04
947660400,0,0,0.06
947746800,0,0,0.02
947833200,0,0,0
947919600,0,0,0
948006000,0,0,0
948092400,0,0,0
948178800,0,0,0
948265200,0,0.01,0.25
948351600,0,0,0
948438000,0.01,0,0
948524400,0,0,0
948610800,0,0,0
948697200,0,0,0
948783600,0,0,0
948870000,0,0,0.05
948956400,0.08,0.1,0.13
949042800,0,0,0
949129200,0,0,0
949215600,0,0,0
949302000,0,0,0
949388400,0,0,0
949474800,0,0,0
949561200,0,0,0
949647600,0,0,0
949734000,0,0,0
949820400,0,0,0
949906800,0,0,0
949993200,0,0,0
950079600,0,0,0
950166000,0,0,0
950252400,0.32,0.25,0.33
950338800,0.04,0,0.02
950425200,0,0.06,0.16
950511600,0,0,0
950598000,0,0,0.1
950684400,0,0,0
950770800,0.02,0,0
950857200,0.03,0.11,0.38
950943600,0,0,0
951030000,0,0,0
951116400,0,0,0
951202800,0,0,0
951289200,0,0,0.15
951375600,0,0,0
951462000,0,0,0
951548400,0,0,0
951634800,0,0,0
951721200,0,0,0
951807600,0,0,
951894000,0,0,0
951980400,0,0,0
952066800,0,0,0.01
952153200,0,0,0
952239600,0.01,0,0
952326000,0,0,0.02
952412400,0,0,0
952498800,0,0,0
952585200,0.03,0,0
952671600,0,0.01,0.08
952758000,0,0,0
952844400,0,0,0
952930800,0,0,0
953017200,0,0,0
953103600,0.8,0,0.03
953190000,0.09,0.97,0.99
953276400,0,0,0
953362800,0,0,0
953449200,0,0,0
953535600,0.1,0.14,0.07
953622000,0.13,0.14,0.21
953708400,0,0,0
953794800,0,0,0
953881200,0,0,0
953967600,0,0,0
954054000,0,0,0.01
954140400,0,0,0
954226800,0,0,0
954313200,0,0,0.02
954399600,0.18,0,0.01
954486000,0.11,0.38,0.33
954572400,0,0.01,0.16
954658800,0.09,0,0
954741600,0,0.09,0.24
954828000,0,0,0
954914400,0,0,0
955000800,0,0,0
955087200,0,0,0.01
955173600,0,0,0
955260000,0,0,0
955346400,0,0,0
955432800,0,0,0.01
955519200,0,0,0
955605600,0,0,0
955692000,0,0,0
955778400,0.09,0,0.03
955864800,0.01,0.2,0.19
955951200,0,0,0
956037600,0,0,0
956124000,0,0,0
956210400,0,0,0
956296800,0,0,0
956383200,0.17,0,0
956469600,0.13,0.37,1.16
956556000,0.04,0.45,0.02
956642400,0,0,0.07
956728800,0,0,0
956815200,0,0,0
956901600,0,0,0
956988000,0.16,0,0
957074400,0,0.29,0.16
957160800,0,0,0.02
957247200,0,0,0
957333600,0,0,0
957420000,0,0,0
957506400,0,0,0
